name,blurb,slug,category,name_len,name_len_clean,launched_at_weekday,deadline_hr,created_at_month,launched_at_hr,create_to_launch_days,launch_to_deadline_days,SuccessfulBool,usd_goal,category_success_rate,category_popularity,category_median_goal,goal_vs_cat_median,location_popularity,location_success_rate
Auntie Di's Music Time Sign ASL for Hearing and HOH Children,MTS ASL Curriculum Workbook is a reproducible study book to build Early Literacy and Academic skills for primary school age children.,auntie-dis-music-time-sign-asl-for-hearing-and-hoh,Academic,11.0,9.0,Wednesday,10,11,13,17,36,0,7.313886831633462,0.0,3.044522437723423,9.210440366976517,-1.0635215941536513,8.000014093678072,0.374916163648558
Jump Start Kindergarten Toolkit,"This kit teaches how to print, correct an ugly grasp, and how to make sure your child's fine motor skills are kindergarten ready!",jump-start-kindergarten-toolkit,Academic,4.0,4.0,Monday,16,2,16,10,60,0,6.2166061010848646,0.0,3.044522437723423,9.210440366976517,-1.3847517383619072,5.0369526024136295,0.2
Ojukwu Balewa Awolowo (O.B.A.) Public Library Of Nigeria,"Establishing a free, world-class, public library which will be a center  for curating and disseminating knowledge in Nigeria.",ojukwu-balewa-awolowo-oba-public-library-of-nigeri,Academic,8.0,8.0,Sunday,8,1,8,1,60,0,11.51293546492023,0.0,3.044522437723423,9.210440366976517,1.1946782730661447,1.3862943611198906,0.2
"MASTIZE - [mas-TAHYZ, MAS-tahyz]  - to spread","Goal: Introducing a new word into the English language/dictionary.
Reason: The beauty of the English language is the freedom to create.",mastize-mas-tahyz-mas-tahyz-to-spread,Academic,7.0,6.0,Saturday,0,9,0,0,30,0,8.517393171418904,0.0,3.044522437723423,9.210440366976517,-0.5265299796423111,5.19295685089021,0.2596685082872928
"Synopse der EU-DSGVO - Artikel, Erwägungsgründe, BDSG-§§",Zu den Artikeln der DSGVO sind die korrespondierenden Erwägungsgründe und die vergleichbaren Regelungen aus dem BDSG gegenüber gestellt,synopse-der-eu-dsgvo-artikel-erwagungsgrunde-bdsg,Academic,7.0,7.0,Thursday,12,5,5,0,32,0,8.186543658003913,0.0,3.044522437723423,9.210440366976517,-0.7050247170066829,4.406719247264253,0.30120481927710846
Shadow School Board - Reforming Texas School Boards,"Shadow School Board will provide parents & taxpayers a ""how-to manual"" to restore accountability to your school district's real board.",shadow-school-board-reforming-texas-school-boards,Academic,8.0,8.0,Wednesday,10,10,10,2,30,0,9.472781556562168,0.0,3.044522437723423,9.210440366976517,0.23296808382789166,6.80128303447162,0.21666666666666667
"Research in HIV prevention, treatment, and aid",I want to create an organization that is composed of selfless people who are dedicated to prevent HIV related deaths and transmission.,research-in-hiv-prevention-treatment-and-aid,Academic,7.0,5.0,Wednesday,22,4,22,0,30,0,10.819798284210286,0.0,3.044522437723423,9.210440366976517,0.9591041823467986,5.117993812416755,0.23809523809523808
Cardinal Investment Club,"Group of passionate and eager students gaining experience in the Stock market through research, collaboration and hard work.",cardinal-investment-club,Academic,3.0,3.0,Thursday,10,8,10,0,45,0,9.210440366976517,0.0,3.044522437723423,9.210440366976517,0.0,6.066108090103747,0.42592592592592593
V.I.P.-Architecture,"V.I.P.-Architecture shows the most iconic, the most famous and most important buildings of our planet in one book.",vip-architecture,Academic,1.0,1.0,Sunday,5,2,5,1,30,0,8.809350614530224,0.0,3.044522437723423,9.210440366976517,-0.3372503284337451,2.1972245773362196,0.3
Collected Works of Ross Wells,"A collection of plays, screenplays, and photographs from the productions written by Ross Wells, Texas playwright, director, and actor.",collected-works-of-ross-wells,Academic,5.0,4.0,Monday,17,11,17,1,30,0,9.61587214452889,0.0,3.044522437723423,9.210440366976517,0.34034457055802697,6.80128303447162,0.21666666666666667
